interactor_1,intaractor_2,intaraction_type
mmu-miR-96-5p,Rgs2,2
mmu-miR-96-5p,Rgs2,2
mmu-miR-96-5p,Rgs2,2
mmu-miR-96-5p,Ttyh3,2
mmu-miR-96-5p,Sox5,2
mmu-miR-96-5p,Slc6a9,2
mmu-miR-96-5p,Sh3bp5,2
mmu-miR-96-5p,Tsku,2
mmu-miR-96-5p,Slc12a6,2
mmu-miR-96-5p,Slc12a6,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Farp1,2
mmu-miR-96-5p,Farp1,2
mmu-miR-96-5p,Trib3,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Adcy6,2
mmu-miR-96-5p,Rgs2,2
mmu-miR-96-5p,Rgs2,2
mmu-miR-96-5p,Rgs2,2
mmu-miR-96-5p,Slc12a6,2
mmu-miR-96-5p,Slc12a6,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Hbegf,2
mmu-miR-96-5p,Farp1,2
mmu-miR-96-5p,Farp1,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Prrx1,2
mmu-miR-96-5p,Ntn4,2
mmu-miR-96-5p,Ntn4,2
mmu-miR-96-5p,Lrrc3,2
mmu-miR-96-5p,Lrrc3,2
mmu-miR-96-5p,Foxq1,2
mmu-miR-96-5p,Foxq1,2
mmu-miR-96-5p,Rab3c,2
mmu-miR-96-5p,Rgs2,2
mmu-miR-96-5p,Rgs2,2
mmu-miR-96-5p,Rgs2,2
mmu-miR-99a-5p,Ctdspl,1
