Gene;symbol;log2FoldChange;padj
ENSMUSG00000022103.10;Gfra2;3.449236419;7.57873E-12
ENSMUSG00000017969.13;Ptgis;3.444980743;2.41895E-86
ENSMUSG00000024087.4;Cyp1b1;3.4400296;5.32975E-15
ENSMUSG00000038068.15;Rnf144b;3.436609026;4.44395E-22
ENSMUSG00000032530.14;Lyzl4;3.425247259;0.003431426
ENSMUSG00000022996.15;Wnt10b;3.423051856;3.9986E-07
ENSMUSG00000006529.16;Itih1;3.422174949;2.18098E-05
ENSMUSG00000029189.10;Sel1l3;3.4027918;3.3443E-156
ENSMUSG00000030409.16;Dmpk;3.392116484;1.4807E-11
ENSMUSG00000000617.14;Grm6;3.377830755;0.000568853
ENSMUSG00000092572.7;Serpinb10;3.367350395;1.34352E-06
ENSMUSG00000006611.15;Hfe;3.353914945;6.56072E-31
ENSMUSG00000059412.7;Fxyd2;3.353014659;8.9743E-28
ENSMUSG00000030246.11;Ldhb;3.349525077;9.32313E-13
ENSMUSG00000021708.17;Rasgrf2;3.316676602;0.001696791
ENSMUSG00000000204.16;Slfn4;3.31322385;3.85537E-61
ENSMUSG00000023094.14;Msrb2;3.311576875;2.59776E-08
ENSMUSG00000078780.7;Gm5150;3.306201757;4.13737E-10
ENSMUSG00000032827.15;Ppp1r9a;3.290704505;2.2869E-28
ENSMUSG00000027322.11;Siglec1;3.290020194;1.11857E-10
ENSMUSG00000025330.6;Padi4;3.284922935;1.17658E-54
ENSMUSG00000029810.15;Tmem176b;3.28450035;4.91113E-51
ENSMUSG00000036887.5;C1qa;3.282587899;2.11525E-69
ENSMUSG00000024013.15;Fgd2;3.253481252;8.95166E-13
ENSMUSG00000034926.3;Dhcr24;3.24191894;8.95552E-87
ENSMUSG00000096370.8;Gm21992;3.223547466;1.31685E-11
ENSMUSG00000030747.5;Dgat2;3.2150535;4.41195E-26
ENSMUSG00000046080.17;Clec9a;3.213920387;1.65378E-21
ENSMUSG00000053395.15;Cacng8;3.189780483;0.001173853
ENSMUSG00000026579.8;F5;3.179577194;1.09881E-26
ENSMUSG00000029377.5;Ereg;3.177807225;0.000834745
ENSMUSG00000021676.10;Iqgap2;3.175206213;6.4951E-55
ENSMUSG00000047250.13;Ptgs1;3.170163153;1.1801E-250
ENSMUSG00000025491.14;Ifitm1;3.169332411;4.94319E-39
ENSMUSG00000010663.5;Fads1;3.167159098;4.17324E-91
ENSMUSG00000032010.15;Usp2;3.1563996;6.93773E-09
ENSMUSG00000020053.18;Igf1;3.138966234;2.91138E-90
ENSMUSG00000039783.15;Kmo;3.133206805;1.11782E-06
ENSMUSG00000026675.12;Hsd17b7;3.121291657;3.56693E-35
ENSMUSG00000112241.1;NA;3.09506333;1.11548E-08
ENSMUSG00000040658.7;Dnph1;3.08192268;2.07213E-08
ENSMUSG00000006378.15;Gcat;3.077877163;2.88867E-10
ENSMUSG00000026730.12;Pter;3.075833529;4.10214E-09
ENSMUSG00000026616.16;Cr2;3.062181296;1.46218E-06
ENSMUSG00000032271.13;Nnmt;3.046842827;2.82533E-09
ENSMUSG00000101389.1;Ms4a4a;3.045590345;2.7283E-184
ENSMUSG00000029287.14;Tgfbr3;3.018195892;1.54743E-20
ENSMUSG00000095079.6;NA;3.017816857;1.38526E-08
ENSMUSG00000024663.20;Rab3il1;2.998607924;1.14214E-15
ENSMUSG00000031004.8;Mki67;2.996626521;3.97824E-93
ENSMUSG00000005824.7;Tnfsf14;2.992993002;5.00706E-71
ENSMUSG00000002007.5;Srpk3;2.986792678;0.000465804
ENSMUSG00000025153.9;Fasn;2.982185583;1.34575E-73
ENSMUSG00000037095.8;Lrg1;2.98164049;9.10738E-07
ENSMUSG00000027995.10;Tlr2;2.975521827;4.4947E-144
ENSMUSG00000030088.15;Aldh1l1;2.97443045;2.9399E-19
ENSMUSG00000073386.5;9830107B12Rik;2.968072329;4.89543E-05
ENSMUSG00000004359.16;Spic;2.962134702;3.64946E-41
ENSMUSG00000071637.5;Cebpd;2.961350593;9.0834E-49
ENSMUSG00000079419.4;Ms4a6c;2.956663034;4.24646E-78
ENSMUSG00000022419.16;Deptor;2.949018001;3.03414E-29
ENSMUSG00000046329.14;Slc25a23;2.948700493;5.20087E-10
ENSMUSG00000042616.8;Oscp1;2.942055699;4.29828E-11
ENSMUSG00000003526.12;Prodh;2.93810199;3.60393E-15
ENSMUSG00000021313.16;Ryr2;2.928085464;6.09962E-07
ENSMUSG00000025876.15;Unc5a;2.919385288;2.98015E-07
ENSMUSG00000029471.13;Camkk2;2.907990507;2.96697E-86
ENSMUSG00000026365.15;Cfh;2.907697568;5.22354E-11
ENSMUSG00000013974.3;Mcemp1;2.885945976;7.02316E-78
ENSMUSG00000040118.15;Cacna2d1;2.882934499;1.77106E-09
ENSMUSG00000049313.8;Sorl1;2.873463134;4.41956E-67
ENSMUSG00000003849.8;Nqo1;2.866677581;5.56995E-05
ENSMUSG00000005373.13;Mlxipl;2.864366731;4.02651E-06
ENSMUSG00000050103.18;Agmo;2.864352554;0.008921873
ENSMUSG00000030255.13;Sspn;2.859669303;0.000786331
ENSMUSG00000030474.9;Siglece;2.85894533;1.9124E-41
ENSMUSG00000026170.6;Cyp27a1;2.856419948;2.12903E-06
ENSMUSG00000028766.10;Alpl;2.855584635;7.32424E-08
ENSMUSG00000053080.10;2700081O15Rik;2.849691281;3.46109E-20
ENSMUSG00000109713.1;Pvrig;2.842016026;0.0021175
ENSMUSG00000002992.17;Apoc2;2.833900588;5.15043E-15
ENSMUSG00000030069.15;Prok2;2.827161138;2.04283E-09
ENSMUSG00000029254.16;Stap1;2.825853357;1.63434E-44
ENSMUSG00000049939.6;Lrrc4;2.822176148;4.26008E-09
ENSMUSG00000020534.14;Shmt1;2.817047144;1.17115E-06
ENSMUSG00000028864.7;Hgf;2.812189675;6.39132E-08
ENSMUSG00000038415.10;Foxq1;2.81120987;0.000576452
ENSMUSG00000051727.14;Kctd14;2.781123018;3.61482E-05
ENSMUSG00000095788.6;Sirpb1a;2.7662462;1.10188E-05
ENSMUSG00000042498.16;Radx;2.761537512;1.29305E-45
ENSMUSG00000026556.15;Vangl2;2.747620029;1.9671E-07
ENSMUSG00000026193.15;Fn1;2.724802648;4.3104E-49
ENSMUSG00000021418.15;Rpp40;2.714221401;3.40219E-08
ENSMUSG00000031451.6;Gas6;2.709618924;6.48094E-08
ENSMUSG00000066191.12;Anks6;2.692105887;9.19375E-05
ENSMUSG00000046442.4;Ppm1e;2.691104607;3.82137E-06
ENSMUSG00000029761.16;Cald1;2.68874091;9.45816E-46
ENSMUSG00000023800.15;Tiam2;2.687529569;4.56177E-14
ENSMUSG00000041707.8;Tmem273;2.682919037;1.02488E-15
ENSMUSG00000054728.17;Phactr1;2.679994467;1.7731E-08
ENSMUSG00000026833.18;Olfm1;2.678012751;2.1087E-153
ENSMUSG00000024210.3;Ip6k3;2.671785468;0.003731311
